"연도","대회별","실시직종","참가직종","계","금메달(인원)","은메달(인원)","동메달(인원)","종합순위","개최국"
"1967","16","32","9","5","2","1","2","6","스페인"
"1968","17","28","15","8","4","4","0","3","스위스"
"1969","18","28","17","8","2","5","1","4","벨기에"
"1970","19","30","29","13","4","4","5","2","일본"
"1971","20","31","26","11","3","8","0","4","스페인"
"1973","21","33","18","12","6","4","2","2","서독"
"1975","22","31","25","19","8","6","5","2","스페인"
"1977","23","31","28","21","12","4","5","1","네덜란드"
"1978","24","31","31","31","22","6","3","1","한국"
"1979","25","33","33","23","17","5","1","1","아일랜드"
"1981","26","33","31","24","15","6","3","1","미국"
"1983","27","32","32","20","15","2","3","1","오스트리아"
"1985","28","34","33","24","15","6","3","1","일본"
"1988","29","34","34","21","12","6","3","1","오스트레일리아"
"1989","30","34","32","16","11","2","3","1","영국"
"1991","31","34","32","18","13","2","3","1","네덜란드"
"1993","32","35","32","20","12","3","5","2","대만"
"1995","33","34","32","18","10","5","3","1","프랑스"
"1997","34","37","34","17","10","3","4","1","스위스"
"1999","35","41","35","16","7","7","2","1","캐나다"
"2001","36","45","38","32","20","5","7","1","한국"
"2003","37","42","38","25","11","6","8","1","스위스"
"2005","38","39","35","16","3","8","5","2","핀란드"
"2007","39","47","42","27","11","10","6","1","일본"
"2009","40","45","40","23","13","5","5","1","캐나다"
"2011","41","46","39","25","13","5","7","1","영국"
"2013","42","46","37","23","12","5","6","1","독일"
"2015","43","50","41","25","13","7","5","1","브라질"
"2017","44","51","42","24","8","8","8","2","아랍에미리트"
"2019","45","56","47","15","7","6","2","3","러시아"
